latitude,longitude,elevation
16.52028675,80.59317494,13
16.51947827,80.59317494,16
16.51866978,80.59317494,17
16.5178613,80.59317494,13
16.51705281,80.59317494,17
16.51624433,80.59317494,16
16.51543585,80.59317494,12
16.5130104,80.59317494,16
16.51220191,80.59317494,11
16.50654252,80.59317494,15
16.50573404,80.59317494,16
16.50492556,80.59317494,12
16.50411707,80.59317494,15
16.50330859,80.59317494,12
16.52028675,80.59398343,15
16.51947827,80.59398343,14
16.51866978,80.59398343,14
16.5178613,80.59398343,15
16.51705281,80.59398343,13
16.51624433,80.59398343,15
16.51543585,80.59398343,13
16.51462736,80.59398343,12
16.51381888,80.59398343,15
16.5130104,80.59398343,15
16.51220191,80.59398343,12
16.50654252,80.59398343,8
16.50573404,80.59398343,10
16.50492556,80.59398343,13
16.50411707,80.59398343,15
16.50330859,80.59398343,16
16.52028675,80.59479191,17
16.51947827,80.59479191,14
16.51866978,80.59479191,13
16.5178613,80.59479191,16
16.51705281,80.59479191,12
16.51624433,80.59479191,12
16.51543585,80.59479191,13
16.51462736,80.59479191,15
16.51381888,80.59479191,13
16.5130104,80.59479191,12
16.51220191,80.59479191,16
16.51139343,80.59479191,13
16.50573404,80.59479191,0
16.50492556,80.59479191,13
16.50411707,80.59479191,15
16.50330859,80.59479191,13
16.50250011,80.59479191,13
16.51947827,80.5956004,12
16.51866978,80.5956004,12
16.5178613,80.5956004,12
16.51705281,80.5956004,13
16.51624433,80.5956004,15
16.51543585,80.5956004,16
16.51462736,80.5956004,16
16.51381888,80.5956004,12
16.5130104,80.5956004,12
16.51220191,80.5956004,13
16.51139343,80.5956004,16
16.51058494,80.5956004,12
16.50573404,80.5956004,12
16.50492556,80.5956004,15
16.50411707,80.5956004,12
16.50330859,80.5956004,12
16.50250011,80.5956004,16
16.51866978,80.59640888,16
16.5178613,80.59640888,13
16.51705281,80.59640888,16
16.51624433,80.59640888,15
16.51543585,80.59640888,15
16.51462736,80.59640888,12
16.51381888,80.59640888,16
16.5130104,80.59640888,13
16.51220191,80.59640888,15
16.51139343,80.59640888,15
16.51058494,80.59640888,13
16.50977646,80.59640888,13
16.50492556,80.59640888,15
16.50411707,80.59640888,15
16.50330859,80.59640888,13
16.50250011,80.59640888,15
16.50169162,80.59640888,16
16.5178613,80.59721736,12
16.51705281,80.59721736,13
16.51624433,80.59721736,16
16.51543585,80.59721736,13
16.51462736,80.59721736,13
16.51381888,80.59721736,16
16.5130104,80.59721736,16
16.51220191,80.59721736,16
16.51139343,80.59721736,12
16.51058494,80.59721736,15
16.50977646,80.59721736,12
16.50896798,80.59721736,16
16.50492556,80.59721736,12
16.50411707,80.59721736,15
16.50330859,80.59721736,12
16.50250011,80.59721736,16
16.50169162,80.59721736,13
16.5178613,80.59802585,12
16.51705281,80.59802585,15
16.51624433,80.59802585,16
16.51543585,80.59802585,12
16.51462736,80.59802585,12
16.51381888,80.59802585,16
16.5130104,80.59802585,12
16.51220191,80.59802585,13
16.51139343,80.59802585,12
16.51058494,80.59802585,13
16.50977646,80.59802585,13
16.50896798,80.59802585,16
16.50815949,80.59802585,10
16.50735101,80.59802585,16
16.50492556,80.59802585,12
16.50411707,80.59802585,12
16.50330859,80.59802585,15
16.50250011,80.59802585,12
16.50169162,80.59802585,16
16.51705281,80.59883433,13
16.51624433,80.59883433,12
16.51543585,80.59883433,15
16.51462736,80.59883433,16
16.51381888,80.59883433,12
